"latitude","longitude","pixel_id","sst_weekly_avg","sla_weekly_avg","sst_scaled","sla_scaled","oni_lag8","month","predicted_log_chlor","predicted_chlor_actual"
18.125,-109.875,"18.125_-109.875",30.0966967455621,0.233466666666667,1.44115463789167,2.06002589312883,-0.4,9,-2.4312344779751,0.0879282201052011
18.125,-109.625,"18.125_-109.625",30.3736837606838,0.224233333333333,1.5487675454885,1.95626158241023,-0.4,9,-2.40544286939298,0.0902255286352649
18.125,-109.375,"18.125_-109.375",30.5285310650888,0.2143,1.6089276531861,1.84463066329781,-0.4,9,-2.38449878693444,0.0921351473480183
18.125,-109.125,"18.125_-109.125",30.5103563034188,0.212,1.60186653175654,1.81878323571809,-0.4,9,-2.37375230619475,0.0931306152424506
18.125,-108.875,"18.125_-108.875",30.3664953155819,0.214083333333333,1.54597474497337,1.84219576069972,-0.4,9,-2.35748136220046,0.0946583332701304
18.125,-108.625,"18.125_-108.625",30.2850723824786,0.222233333333333,1.51434092064968,1.93378555842787,-0.4,9,-2.31975098301562,0.0982980604434919
18.125,-108.375,"18.125_-108.375",29.96183382643,0.22925,1.38875871294756,2.012638942566,-0.4,9,-2.28682095791826,0.101588904455326
18.125,-108.125,"18.125_-108.125",30.3646597222222,0.2419,1.54526159407527,2.15479979425448,-0.4,9,-2.2620760596333,0.104134071646638
18.125,-107.875,"18.125_-107.875",30.8670645956608,0.251033333333333,1.74045214911914,2.25744030377395,-0.4,9,-2.02057525845247,0.132579175847685
18.125,-107.625,"18.125_-107.625",30.9475325854701,0.258366666666667,1.77171496607124,2.3398523917093,-0.4,9,-1.92762996469318,0.145492612814596
18.125,-107.375,"18.125_-107.375",30.9585882642998,0.263616666666667,1.77601023508881,2.39885195466301,-0.4,9,-1.90516512537445,0.148798070256367
18.125,-107.125,"18.125_-107.125",31.1199599358974,0.26435,1.83870514075707,2.40709316345655,-0.4,9,-1.68912017796881,0.184681939773398
18.125,-106.875,"18.125_-106.875",30.9336866370809,0.2557,1.76633564255333,2.30988435973281,-0.4,9,-1.84255662051208,0.158411908815454
